dokum_no;numune_no;cap;ovalite;elastikiyet;rel_alt_akma_dayanimi;reh_ust_akma_dayanimi;tufal_orani;C;MN;SI;S;P;N;CR;NI;CU;MO;V;TI;AS;SN;SB;AL;NB;CA;ZN;B;PB;ZR;FE;ALSOL;ALINS;CEV;firin_giris_uzunluk;firin_giris_agirlik;firin_kalis_suresi;lcc_kalma_suresi;firin_cikis_sicakligi;kutuk_desarj_sicakligi;tavlama_ortalama_sicaklik;tavlama_min_sicaklik;tavlama_max_sicaklik;dr10_kutuk_sicakligi;ortalama_descaler_basinci;min_descaler_basinci;max_descaler_basinci;max_meerdrive_giris_sicakligi;min_ meerdrive_giris_sicakligi;ortam_hava_sicakligi1;ortam_hava_sicakligi2;ortam_hava_sicakligi3;unit_agirlik;haddeleme_suresi;haddeleme_hizi
2114213;KRD100120125;6,5;0,8;313;369;391;8,4;0,18;1,2;0,24;0;0,03;0,01;0,04;0,03;0,05;0;0,01;0;0,02;0;0;0,04;0;0;0;0;0;0;97,92;0,03;0;0,4;9102;2826;208;2,8;1194;1214,8;1213,8;1194;1230;1115,4;219,7;2182,9;2207,2;936,6;910,4;37,4;32,1;37;177;128,1;900,8
2114213;KRD100120126;6,5;0,8;313;369;391;8,4;0,18;1,2;0,24;0;0,03;0,01;0,04;0,03;0,05;0;0,01;0;0,02;0;0;0,04;0;0;0;0;0;0;97,92;0,03;0;0,4;9132;2826;210;2;1194,5;1214,8;1213,3;1194;1230;1115,4;219,2;2178,2;2209,5;936,6;910,4;41,7;32,6;37,3;177;127,4;900,8
2114213;KRD100120127;6,5;0,8;313;369;391;8,4;0,18;1,2;0,24;0;0,03;0,01;0,04;0,03;0,05;0;0,01;0;0,02;0;0;0,04;0;0;0;0;0;0;97,92;0,03;0;0,4;9132;2826;210;2;1195;1214,8;1213;1194;1230;1115,4;219,1;2184;2201,4;936,6;910,4;43;32,8;39,7;177;128,2;900,8
2114213;KRD100120128;6,5;0,8;313;369;391;8,4;0,18;1,2;0,24;0;0,03;0,01;0,04;0,03;0,05;0;0,01;0;0,02;0;0;0,04;0;0;0;0;0;0;97,92;0,03;0;0,4;9040;2826;211;2;1196;1214,8;1212,6;1194;1230;1115,4;219,7;2181,7;2215,3;936,6;910,4;39,4;32,4;41,7;177;126,6;900,8
2114213;KRD100120129;6,5;0,8;313;369;391;8,4;0,18;1,2;0,24;0;0,03;0,01;0,04;0,03;0,05;0;0,01;0;0,02;0;0;0,04;0;0;0;0;0;0;97,92;0,03;0;0,4;9107;2826;172;2;1206,5;1214,8;1207;1195;1217;1115,4;236,1;2349,5;2369,2;936,6;910,4;43,2;35,3;44,7;177;127,4;904,2
2114213;KRD100120130;6,5;0,8;313;369;391;8,4;0,18;1,2;0,24;0;0,03;0,01;0,04;0,03;0,05;0;0,01;0;0,02;0;0;0,04;0;0;0;0;0;0;97,92;0,03;0;0,4;9057;2826;173;2;1207;1214,8;1207;1195;1217;1115,4;236,1;2344,9;2378,5;936,6;910,4;44,6;35,4;45;177;127,4;904,2
2114213;KRD100120131;6,5;0,8;313;369;391;8,4;0,18;1,2;0,24;0;0,03;0,01;0,04;0,03;0,05;0;0,01;0;0,02;0;0;0,04;0;0;0;0;0;0;97,92;0,03;0;0,4;9051;2826;173;2;1208;1214,8;1207;1195;1217;1115,4;235,9;2342,6;2379,6;936,6;910,4;45,6;35,6;45,6;177;127,1;904,2
2114213;KRD100120132;6,5;0,8;313;369;391;8,4;0,18;1,2;0,24;0;0,03;0,01;0,04;0,03;0,05;0;0,01;0;0,02;0;0;0,04;0;0;0;0;0;0;97,92;0,03;0;0,4;9069;2826;174;1,8;1209,5;1214,8;1207;1195;1217;1115,4;236,3;2339,1;2378,5;936,6;910,4;42,9;35,3;46,3;177;125,6;904,2
2114213;KRD100120133;6,5;0,8;313;369;391;8,4;0,18;1,2;0,24;0;0,03;0,01;0,04;0,03;0,05;0;0,01;0;0,02;0;0;0,04;0;0;0;0;0;0;97,92;0,03;0;0,4;9008;2826;107;2;1207,5;1240,7;1212,9;1204,5;1225;1100,1;307,9;3067,1;3086,8;959,6;929,6;30,2;25,8;40,1;177;63,3;851,1
2114213;KRD100120134;6,5;0,8;313;369;391;8,4;0,18;1,2;0,24;0;0,03;0,01;0,04;0,03;0,05;0;0,01;0;0,02;0;0;0,04;0;0;0;0;0;0;97,92;0,03;0;0,4;9113;2826;108;2,6;1206,5;1228,9;1212,7;1204,5;1225;1095,1;309,2;3083,3;3107,6;958,4;823,1;31,1;26,6;41,9;177;63,8;851,1
2114213;KRD100120135;6,5;0,8;313;369;391;8,4;0,18;1,2;0,24;0;0,03;0,01;0,04;0,03;0,05;0;0,01;0;0,02;0;0;0,04;0;0;0;0;0;0;97,92;0,03;0;0,4;9063;2826;124;2;1200,5;1233,8;1206,7;1201;1213,5;1092,7;257,5;2562,5;2585,6;939,8;902,1;44,8;35;54;177;64,7;840,8
2114213;KRD100120136;6,5;0,8;313;369;391;8,4;0,18;1,2;0,24;0;0,03;0,01;0,04;0,03;0,05;0;0,01;0;0,02;0;0;0,04;0;0;0;0;0;0;97,92;0,03;0;0,4;9044;2826;81;1,2;1201,5;1232,8;1207,3;1200,5;1213,5;1090,7;256,8;2559;2583,3;938,5;925,2;45,7;36,6;56,8;177;64,3;840,8
2114213;KRD100120137;6,5;0,8;313;369;391;8,4;0,18;1,2;0,24;0;0,03;0,01;0,04;0,03;0,05;0;0,01;0;0,02;0;0;0,04;0;0;0;0;0;0;97,92;0,03;0;0,4;9089;2826;82;1,5;1204,5;1230,2;1207,2;1200,5;1213,5;1088,3;257,1;2559;2581;952,3;923,1;48,3;36,8;56;177;64,6;840,8
