dokum_no;C;MN;SI;S;P;AL;ALINS;ALSOL;CR;B;V;TI;MO;NI;NB;CA;ZN;FE;CEV;SB;SN;AS;CU;N;PB;ZR;firin_giris_uzunluk;firin_giris_agirlik;firin_kalis_suresi;lcc_kalma_suresi;firin_cikis_sicakligi;kutuk_desarj_sicakligi;tavlama_ortalama_sicaklik;tavlama_min_sicaklik;tavlama_max_sicaklik;dr10_kutuk_sicakligi;ortalama_descaler_basinci;min_descaler_basinci;max_descaler_basinci;max_meerdrive_giris_sicakligi;min_ meerdrive_giris_sicakligi;ortam_hava_sicakligi1;ortam_hava_sicakligi2;ortam_hava_sicakligi3;unit_agirlik;haddeleme_suresi;haddeleme_hizi
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12166;2124;100,6833333;3,583333333;1178,5;0;1181,91;1173,5;1191;1087,76;222,8106;221,875;223,6111;944,5023;820,6887;19,15799;6,924479;9,246528;178;73,3;110,066
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12119;2124;100,7;3,583333333;1178;0;1181,708;1173,5;1191;1090,712;223,2728;221,7592;225;944,8206;927,9514;18,52579;6,914782;9,063547;178;73;110,066
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12191;2124;100,75;3,583333333;1177;0;1181,6;1173,5;1191;1087,269;223,0858;221,2963;224,537;940,6829;923,1771;18,22031;6,665427;8,952487;178;73,102;110,066
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12148;2124;100,75;3,599999993;1177;0;1181,46;1173,5;1191;1093,171;222,7742;221,1806;224,0741;940,0463;924,132;18,15653;6,4679;8,670812;178;73,5;110,066
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12157;2124;100,6833333;3,583333333;1176,5;0;1181,366;1173,5;1191;1087,269;222,8543;221,6435;223,9583;938,7731;924,132;18,14856;6,442212;8,319161;178;73,2;110,066
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12197;2124;100,6833333;3,583333333;1176,5;0;1181,215;1173,5;1191;1089,728;222,5446;221,7592;223,8426;940,0463;821,3253;18,03961;6,459042;8,351048;178;73,2;110,066
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12040;2124;100,7166667;3,583333333;1176,5;0;1181,064;1173,5;1191;1081,366;222,8009;221,1806;223,8426;939,728;922,5405;18,03518;6,394381;8,67347;178;73,1;110,066
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12175;2124;100,6833333;3,583333333;1177;0;1180,97;1173,5;1191;1086,285;222,89;221,5278;223,8426;938,7731;920,6308;18,20702;6,324405;8,952487;178;73,4;110,066
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12236;2124;100,7166667;3,583333333;1177,5;0;1180,82;1173,5;1191;1083,825;222,6407;221,6435;223,6111;937,5;922,8588;18,32749;6,346549;8,853281;178;73,5;110,066
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12199;2124;100,7;3,600000003;1176;0;1180,545;1173,5;1191;1091,204;222,9249;220,7176;224,1898;940,3646;920,9491;18,11837;6,436697;8,885573;178;73,3;110,066
